molecule_chembl_id,canonical_smiles
CHEMBL23484,O=C1c2ccccc2CC1Cc1ccncc1
CHEMBL23485,Oc1cccc2c1CC(Cc1ccncc1)C2
CHEMBL23394,Oc1ccc2c(c1)CC(Cc1ccncc1)CC2
CHEMBL279940,Oc1ccc2c(c1)CCC(Cc1ccncc1)C2
CHEMBL23364,Oc1cccc2c1CCC(Cc1ccncc1)C2
CHEMBL23148,COc1cccc2c1CCC(Cc1ccncc1)C2
CHEMBL24014,Oc1ccc2c(c1)CC(Cc1ccncc1)C2
CHEMBL23646,COc1ccc2c(c1)CC(Cc1ccncc1)C2
CHEMBL283782,COc1cccc2c1CC(Cc1ccncc1)C2=O
CHEMBL285155,COc1ccc2c(c1)C/C(=C/c1ccncc1)C2=O
CHEMBL442262,COc1ccc2c(c1)C/C(=C\c1ccncc1)C2=O
CHEMBL23334,COc1cccc2c1C/C(=C/c1ccncc1)C2=O
CHEMBL24233,c1ccc2c(c1)CCC(Cc1ccncc1)C2
CHEMBL288093,COc1cccc2c1C/C(=C\c1ccncc1)C2=O
CHEMBL24115,COc1cccc2c1CC(Cc1ccncc1)C2
CHEMBL26279,COc1ccc2c(c1)CC(Cc1ccncc1)C2=O
CHEMBL285973,O=C1/C(=C\c2ccncc2)Cc2ccccc21
CHEMBL432751,C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(c3cccnc3)=CCC12
CHEMBL132563,CC12CCC3C(Cc4n[nH]c5c4C3(C)CCC5=O)C1CCC2=O
CHEMBL130546,CC12CCC3C(Cc4c5c(nn4Cc4ccccc4)C(=O)CCC53C)C1CCC2=O
CHEMBL133240,CC12CCC3C(Cc4nn(Cc5ccccc5)c5c4C3(C)CCC5=O)C1CCC2=O
CHEMBL422610,CC12CCC3C(Cc4c5c(nn4C/C=C/c4ccccc4)C(=O)CCC53C)C1CCC2=O
CHEMBL131414,CC12CCC3C(Cc4nn(C/C=C/c5ccccc5)c5c4C3(C)CCC5=O)C1CCC2=O
CHEMBL336383,CC12CCC3C(Cc4nn(Cc5ccc([N+](=O)[O-])cc5)c5c4C3(C)CCC5=O)C1CCC2=O
CHEMBL129883,CC12CCC3C(Cc4c5c(nn4Cc4ccc([N+](=O)[O-])cc4)C(=O)CCC53C)C1CCC2=O
CHEMBL369603,Nc1ccc(C23CC2C(=O)N(Cc2ccccc2)C3=O)cc1
CHEMBL172263,CC(C)N1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL174407,CCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL174308,CC(C)CN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL368732,CN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL176539,C#CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL176452,C=CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL368631,CC(C)(C)CN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL354401,CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL174909,CCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL1078534,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL9298,N#Cc1ccc(C2CCCc3cncn32)cc1
CHEMBL23150,O=C1/C(=C/c2ccncc2)Cc2ccccc21
CHEMBL23365,COc1ccc2c(c1)CC(Cc1ccncc1)CC2
CHEMBL23097,COc1ccc2c(c1)CCC(Cc1ccncc1)C2
CHEMBL22485,O=C1c2cccc(O)c2CC1Cc1ccncc1
CHEMBL284934,O=C1/C(=C/c2ccncc2)Cc2c(O)cccc21
CHEMBL24593,c1ccc2c(c1)CC(Cc1ccncc1)C2
CHEMBL24279,O=C1c2ccc(O)cc2CC1Cc1ccncc1
CHEMBL40432,C[C@]12CCC(=O)C(SCCl)=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL442542,C[C@]12CCC(=O)C(SCCl)=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL291279,COCSC1=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CCC1=O
CHEMBL41033,C[C@]12CCC(=O)C(S)=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL288242,C[C@]12CCC(=O)C(S)=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL290309,COCOC1=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CCC1=O
CHEMBL41517,C[C@]12CCC(=O)C(SCF)=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL292899,c1cnc2c(c1)C(CCn1ccnc1)CCC2
CHEMBL54803,c1cc(CCn2ccnc2)c2cccnc2c1
CHEMBL293122,C1=C(CCn2ccnc2)c2cccnc2CC1
CHEMBL55083,C(\Cn1ccnc1)=C1\CCCc2occc21
CHEMBL291700,c1cn(CCC2CCCc3sccc32)cn1
CHEMBL301106,c1cnc2c(c1)C(CCCn1ccnc1)CCC2
CHEMBL299066,c1cc2cc(-n3ccnc3)ccc2cn1
CHEMBL53290,C1=C(CCCn2ccnc2)c2cccnc2CC1
CHEMBL53644,c1ccc2c(c1)CCCC2CCn1ccnc1
CHEMBL301608,c1cnc2c(c1)CCCC2n1ccnc1
CHEMBL57513,C(\Cn1ccnc1)=C1\CCCc2sccc21
CHEMBL56059,C(\Cn1ccnc1)=C1/CCCc2occc21
CHEMBL55144,c1cn(CCC2CCCc3occc32)cn1
CHEMBL298720,c1cc2ccc(Cn3ccnc3)cc2cn1
CHEMBL307160,O=c1c2ccccc2oc2c([N+](=O)[O-])ccc(Cn3ccnc3)c12
CHEMBL442373,N#Cc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12
CHEMBL78322,O=c1c2ccccc2oc2c(Br)ccc(Cn3ccnc3)c12
CHEMBL421149,N#Cc1ccc(Cn2ccnc2)c2oc3ccccc3c(=O)c12
CHEMBL355905,CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1
CHEMBL158635,COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccccc3)oc2c1
CHEMBL161530,O=c1ccoc2c(Cn3ccnc3)ccc(Br)c12
CHEMBL350922,O=c1c2ccccc2oc2cc(Cn3ccnc3)ccc12
CHEMBL351167,O=c1ccoc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12
