molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL1823758,469.5120000000002,5.383200000000005,75.63,2,3,9
CHEMBL1823759,487.50200000000024,5.522300000000004,75.63,2,3,9
CHEMBL1823760,487.50200000000024,5.522300000000004,75.63,2,3,9
CHEMBL1823761,487.50200000000024,5.522300000000004,75.63,2,3,9
CHEMBL1823762,503.9570000000003,6.036600000000004,75.63,2,3,9
CHEMBL1823763,503.9570000000003,6.036600000000004,75.63,2,3,9
CHEMBL1823956,503.9570000000003,6.036600000000004,75.63,2,3,9
CHEMBL1823957,548.4080000000004,6.145700000000005,75.63,2,3,9
CHEMBL1823958,548.4080000000004,6.145700000000004,75.63,2,3,9
CHEMBL1823959,538.4020000000003,6.690000000000006,75.63,2,3,9
CHEMBL1823960,538.4020000000003,6.690000000000006,75.63,2,3,9
CHEMBL1823961,499.53800000000024,5.391800000000004,84.86,2,4,10
CHEMBL1823962,499.5380000000002,5.391800000000005,84.86,2,4,10
CHEMBL1823963,529.5640000000002,5.400400000000005,94.09,2,5,11
CHEMBL1823964,483.53900000000016,5.691620000000006,75.63,2,3,9
CHEMBL1910883,303.16599999999994,4.332100000000001,46.53,1,3,4
CHEMBL1910887,458.41300000000024,5.465900000000002,63.24,1,5,6
CHEMBL1910888,473.4280000000002,5.0481000000000025,89.25999999999999,2,6,6
CHEMBL1910962,546.4750000000001,5.261100000000004,98.77,1,8,8
CHEMBL1923781,692.7990000000001,0.5957000000000001,212.66999999999996,7,13,3
CHEMBL1923782,676.8000000000003,1.118300000000001,200.27999999999997,6,12,4
CHEMBL1923783,719.8250000000002,0.8279000000000011,229.37999999999997,7,13,7
CHEMBL1935491,537.7010000000002,5.631620000000004,118.89000000000001,2,6,9
CHEMBL1935492,537.7010000000002,5.631620000000004,118.89000000000001,2,6,9
CHEMBL1935493,537.7010000000002,5.487520000000004,118.89000000000001,2,6,9
